BatteryLevel,TotalData,BUSData,SLPData,SDATFData,SMDHData,Count
19.24025,336,336,0,0,0,2
19.21275,672,672,0,0,0,4
19.18525,1008,1008,0,0,0,6
19.15775,1344,1344,0,0,0,8
19.13025,1680,1680,0,0,0,10
19.10275,2016,2016,0,0,0,12
19.07525,2352,2352,0,0,0,14
19.04775,2688,2688,0,0,0,16
19.02025,3024,3024,0,0,0,18
18.99275,3360,3360,0,0,0,20
18.96525,3696,3696,0,0,0,22
18.93775,4032,4032,0,0,0,24
18.91025,4368,4368,0,0,0,26
18.88275,4704,4704,0,0,0,28
18.85525,5040,5040,0,0,0,30
18.82775,5376,5376,0,0,0,32
18.80025,5712,5712,0,0,0,34
18.809416,6048,6048,0,0,0,36
18.818583,6384,6384,0,0,0,38
18.864416,6720,6720,0,0,0,40
18.91025,7056,7056,0,0,0,42
18.919416,7392,7392,0,0,0,44
18.96525,7728,7728,0,0,0,46
19.011084,8064,8064,0,0,0,48
19.02025,8400,8400,0,0,0,50
19.066084,8736,8736,0,0,0,52
19.111917,9072,9072,0,0,0,54
19.121084,9408,9408,0,0,0,56
19.166916,9744,9744,0,0,0,58
19.21275,10080,10080,0,0,0,60
19.221916,10416,10416,0,0,0,62
19.254,10752,10752,0,0,0,64
19.254,11088,11088,0,0,0,66
19.24025,11424,11424,0,0,0,68
19.254,11760,11760,0,0,0,70
19.254,12096,12096,0,0,0,72
19.24025,12432,12432,0,0,0,74
19.254,12768,12768,0,0,0,76
19.254,13104,13104,0,0,0,78
19.24025,13440,13440,0,0,0,80
19.254,13776,13776,0,0,0,82
19.254,14112,14112,0,0,0,84
19.24025,14448,14448,0,0,0,86
19.254,14784,14784,0,0,0,88
19.254,15120,15120,0,0,0,90
19.24025,15456,15456,0,0,0,92
19.254,15792,15792,0,0,0,94
19.254,16128,16128,0,0,0,96
19.24407,10184,10184,0,0,0,98
19.248714,4240,4240,0,0,0,100
19.250933,111.55556,56,55.555557,0,0,102
19.247042,223.11111,112,111.111115,0,0,104
19.246836,390.22223,168,222.22223,0,0,106
19.24663,557.3333,224,333.33334,0,0,108
19.24025,1226.6666,560,666.6667,0,0,110
19.254,2229.3333,896,1333.3334,0,0,112
19.254,3232,1232,2000.0,0,0,114
19.24025,3901.3333,1568,2333.3333,0,0,116
19.254,4904,1904,3000,0,0,118
19.1974,5906.6665,2240,3666.6667,0,0,120
19.15535,6576,2576,4000.0,0,0,122
19.09875,7578.6665,2912,4666.6665,0,0,124
19.04215,8581.333,3248,5333.3335,0,0,126
19.0001,9250.667,3584,5666.6665,0,0,128
18.9435,10253.333,3920,6333.3335,0,0,130
18.8869,11256.0,4256,7000.0,0,0,132
18.84485,11925.333,4592,7333.3335,0,0,134
18.78825,12928.0,4928,8000.0,0,0,136
18.73165,13930.667,5264,8666.667,0,0,138
18.6896,14600.0,5600,9000.0,0,0,140
18.633,15602.667,5936,9666.667,0,0,142
18.5764,16605.334,6272,10333.333,0,0,144
18.53435,17274.666,6608,10666.667,0,0,146
18.47775,18277.334,6944,11333.333,0,0,148
18.42115,19280.0,7280,12000.0,0,0,150
18.3791,19949.334,7616,12333.333,0,0,152
18.359167,20952.0,7952,13000.0,0,0,154
18.3759,21954.666,8288,13666.667,0,0,156
18.407183,22624.0,8624,14000.0,0,0,158
18.38725,23626.666,8960,14666.667,0,0,160
18.403984,24629.334,9296,15333.333,0,0,162
18.435266,25298.666,9632,15666.667,0,0,164
18.415333,26301.334,9968,16333.333,0,0,166
18.432066,27304.0,10304,17000.0,0,0,168
18.46335,27973.334,10640,17333.334,0,0,170
18.443417,28976.0,10976,18000.0,0,0,172
18.46015,29978.666,11312,18666.666,0,0,174
18.491434,30648.0,11648,19000.0,0,0,176
18.4715,31650.666,11984,19666.666,0,0,178
18.488234,32653.334,12320,20333.334,0,0,180
18.519516,33322.668,12656,20666.666,0,0,182
18.499584,34325.332,12992,21333.334,0,0,184
18.516317,35328.0,13328,22000.0,0,0,186
18.5476,35997.332,13664,22333.334,0,0,188
18.527666,37000.0,14000,23000.0,0,0,190
18.5444,38002.668,14336,23666.666,0,0,192
18.575684,38672.0,14672,24000.0,0,0,194
18.55575,39674.668,15008,24666.666,0,0,196
18.572483,40677.332,15344,25333.334,0,0,198
18.603767,41346.668,15680,25666.666,0,0,200
18.583834,42349.332,16016,26333.334,0,0,202
18.600567,43352.0,16352,27000.0,0,0,204
18.596746,31408.0,16408,15000.0,0,0,206
18.59528,25464.0,16464,9000.0,0,0,208
18.599924,16520,16520,0,0,0,210
18.60457,10576,10576,0,0,0,212
18.603104,4632,4632,0,0,0,214
18.607748,56,56,0,0,0,216
18.662045,392,392,0,0,0,218
18.671211,728,728,0,0,0,220
18.717045,1064,1064,0,0,0,222
18.762878,1400,1400,0,0,0,224
18.772045,1736,1736,0,0,0,226
18.817879,2072,2072,0,0,0,228
18.86371,2408,2408,0,0,0,230
18.872877,2744,2744,0,0,0,232
18.91871,3080,3080,0,0,0,234
18.927877,3416,3416,0,0,0,236
18.900377,3752,3752,0,0,0,238
18.872877,4088,4088,0,0,0,240
18.845377,4424,4424,0,0,0,242
18.817879,4760,4760,0,0,0,244
18.790379,5096,5096,0,0,0,246
18.762878,5432,5432,0,0,0,248
18.735378,5768,5768,0,0,0,250
18.707878,6104,6104,0,0,0,252
18.680378,6440,6440,0,0,0,254
18.652878,6776,6776,0,0,0,256
18.625378,7112,7112,0,0,0,258
18.597878,7448,7448,0,0,0,260
18.570377,7784,7784,0,0,0,262
18.542877,8120,8120,0,0,0,264
18.515377,8456,8456,0,0,0,266
18.487877,8792,8792,0,0,0,268
18.497044,9128,9128,0,0,0,270
18.50621,9464,9464,0,0,0,272
18.552044,9800,9800,0,0,0,274
18.597878,10136,10136,0,0,0,276
18.607044,10472,10472,0,0,0,278
18.652878,10808,10808,0,0,0,280
18.698711,11144,11144,0,0,0,282
18.707878,11480,11480,0,0,0,284
18.753712,11816,11816,0,0,0,286
18.799545,12152,12152,0,0,0,288
18.808712,12488,12488,0,0,0,290
18.854544,12824,12824,0,0,0,292
18.900377,13160,13160,0,0,0,294
18.909544,13496,13496,0,0,0,296
18.955378,13832,13832,0,0,0,298
19.001211,14168,14168,0,0,0,300
19.010378,14504,14504,0,0,0,302
19.056211,14840,14840,0,0,0,304
19.102045,15176,15176,0,0,0,306
19.111212,15512,15512,0,0,0,308
19.157045,15848,15848,0,0,0,310
19.172321,9904,9904,0,0,0,312
19.170856,3960,3960,0,0,0,314
19.1755,56,56,0,0,0,316
19.17941,174.51852,56,0,118.51852,0,318
19.177212,349.03705,112,0,237.03703,0,320
19.18039,642.0741,168,0,474.07407,0,322
19.210455,1807.7037,504,0,1303.7037,0,324
19.215221,2854.8147,840,0,2014.8148,0,326
19.252256,4613.037,1176,0,3437.037,0,328
19.254,6371.2593,1512,0,4859.2593,0,330
19.24025,7418.3706,1848,0,5570.3706,0,332
19.254,9176.593,2184,0,6992.593,0,334
19.254,10934.814,2520,0,8414.814,0,336
19.24025,11981.926,2856,0,9125.926,0,338
19.254,13740.148,3192,0,10548.148,0,340
19.254,15498.37,3528,0,11970.37,0,342
19.24025,16545.482,3864,0,12681.481,0,344
19.254,18303.703,4200,0,14103.704,0,346
19.254,20061.926,4536,0,15525.926,0,348
19.24025,21109.037,4872,0,16237.037,0,350
19.254,22867.26,5208,0,17659.26,0,352
19.2177,24625.482,5544,0,19081.482,0,354
19.1858,25672.592,5880,0,19792.592,0,356
19.1495,27430.814,6216,0,21214.814,0,358
19.1132,29189.037,6552,0,22637.037,0,360
19.0813,30236.148,6888,0,23348.148,0,362
19.045,31994.371,7224,0,24770.371,0,364
19.0087,33752.594,7560,0,26192.592,0,366
18.9768,34799.703,7896,0,26903.703,0,368
18.9405,36557.926,8232,0,28325.926,0,370
18.9042,38316.15,8568,0,29748.148,0,372
18.8723,39363.258,8904,0,30459.26,0,374
18.836,41121.48,9240,0,31881.482,0,376
18.7997,42879.703,9576,0,33303.703,0,378
18.7678,43926.816,9912,0,34014.816,0,380
18.7315,45685.035,10248,0,35437.035,0,382
18.6952,47443.258,10584,0,36859.258,0,384
18.6633,48490.37,10920,0,37570.37,0,386
18.663666,50248.594,11256,0,38992.594,0,388
18.7007,52006.816,11592,0,40414.816,0,390
18.742134,53053.926,11928,0,41125.926,0,392
18.7425,54812.15,12264,0,42548.15,0,394
18.779533,56570.37,12600,0,43970.37,0,396
18.820967,57617.48,12936,0,44681.48,0,398
18.821333,59375.703,13272,0,46103.703,0,400
18.858366,61133.926,13608,0,47525.926,0,402
18.8998,62181.035,13944,0,48237.035,0,404
18.900167,63939.258,14280,0,49659.258,0,406
18.9372,65697.484,14616,0,51081.48,0,408
18.978634,66744.59,14952,0,51792.594,0,410
18.979,68502.81,15288,0,53214.816,0,412
19.016033,70261.04,15624,0,54637.035,0,414
19.057467,71308.15,15960,0,55348.15,0,416
19.057833,73066.37,16296,0,56770.37,0,418
19.08017,67833.484,16352,0,51481.48,0,420
19.084814,55889.48,16408,0,39481.48,0,422
19.083347,49945.48,16464,0,33481.48,0,424
19.087992,38001.48,16520,0,21481.482,0,426
19.092636,26057.482,16576,0,9481.481,0,428
19.09117,20113.482,16632,0,3481.4814,0,430
19.114912,336,336,0,0,0,432
19.124077,336,336,0,0,0,434
